Date,Apple,Tesla,Amazon,Visa,Microsoft
2017-01-03,29.037500381469727,37.68349838256836,62.58000183105469,14.465999603271484,79.5
2017-01-04,29.0049991607666,37.85900115966797,62.29999923706055,15.13266658782959,80.1500015258789
2017-01-05,29.15250015258789,39.022499084472656,62.29999923706055,15.116666793823242,81.08999633789062
2017-01-06,29.477500915527344,39.79949951171875,62.84000015258789,15.267333030700684,82.20999908447266
2017-01-09,29.747499465942383,39.84600067138672,62.63999938964844,15.41866683959961,81.75
2017-01-10,29.77750015258789,39.79499816894531,62.619998931884766,15.324666976928711,81.30999755859375
2017-01-11,29.9375,39.95100021362305,63.189998626708984,15.315333366394043,81.80000305175781
2017-01-12,29.8125,40.68199920654297,62.61000061035156,15.305999755859375,81.37000274658203
2017-01-13,29.760000228881836,40.856998443603516,62.70000076293945,15.850000381469727,81.16999816894531
2017-01-17,30.0,40.486000061035156,62.529998779296875,15.70533275604248,81.26000213623047
2017-01-18,29.997499465942383,40.374000549316406,62.5,15.890666961669922,81.58999633789062
2017-01-19,29.94499969482422,40.45199966430664,62.29999923706055,16.250667572021484,81.7300033569336
2017-01-20,30.0,40.416500091552734,62.7400016784668,16.315332412719727,81.83999633789062
2017-01-23,30.020000457763672,40.89400100708008,62.959999084472656,16.594667434692383,82.1500015258789
2017-01-24,29.99250030517578,41.12200164794922,63.52000045776367,16.974000930786133,83.2300033569336
2017-01-25,30.469999313354492,41.82600021362305,63.68000030517578,16.96466636657715,83.9000015258789
2017-01-26,30.485000610351562,41.95750045776367,64.2699966430664,16.833999633789062,83.23999786376953
2017-01-27,30.487499237060547,41.78850173950195,65.77999877929688,16.863332748413086,83.7699966430664
2017-01-30,30.407499313354492,41.51900100708008,65.12999725341797,16.708667755126953,83.69999694824219
2017-01-31,30.337499618530273,41.17399978637695,64.6500015258789,16.795333862304688,82.70999908447266
2017-02-01,32.1875,41.61750030517578,63.58000183105469,16.615999221801758,82.44000244140625
2017-02-02,32.13249969482422,41.997501373291016,63.16999816894531,16.770000457763672,82.30000305175781
2017-02-03,32.27000045776367,40.5099983215332,63.68000030517578,16.755332946777344,86.08000183105469
2017-02-06,32.5724983215332,40.38199996948242,63.63999938964844,17.184667587280273,85.83000183105469
2017-02-07,32.88249969482422,40.625,63.43000030517578,17.165332794189453,85.77999877929688
2017-02-08,33.0099983215332,40.98550033569336,63.34000015258789,17.472000122070312,85.08999633789062
2017-02-09,33.10499954223633,41.06800079345703,64.05999755859375,17.946666717529297,85.58000183105469
2017-02-10,33.029998779296875,41.37300109863281,64.0,17.948667526245117,85.9000015258789
2017-02-13,33.3224983215332,41.826499938964844,64.72000122070312,18.706666946411133,86.44000244140625
2017-02-14,33.755001068115234,41.81949996948242,64.56999969482422,18.73200035095215,86.8499984741211
2017-02-15,33.877498626708984,42.1349983215332,64.52999877929688,18.650667190551758,87.54000091552734
2017-02-16,33.837501525878906,42.207000732421875,64.5199966430664,17.93000030517578,87.41000366210938
2017-02-17,33.93000030517578,42.253501892089844,64.62000274658203,18.148666381835938,87.45999908447266
2017-02-21,34.17499923706055,42.821998596191406,64.48999786376953,18.492666244506836,87.91999816894531
2017-02-22,34.27750015258789,42.78049850463867,64.36000061035156,18.233999252319336,87.80000305175781
2017-02-23,34.13249969482422,42.609500885009766,64.62000274658203,17.06599998474121,88.18000030517578
2017-02-24,34.165000915527344,42.262001037597656,64.62000274658203,17.133333206176758,88.43000030517578
2017-02-27,34.23249816894531,42.43199920654297,64.2300033569336,16.415332794189453,88.0
2017-02-28,34.247501373291016,42.25199890136719,63.97999954223633,16.666000366210938,87.94000244140625
2017-03-01,34.9474983215332,42.65399932861328,64.94000244140625,16.667999267578125,88.98999786376953
2017-03-02,34.7400016784668,42.445499420166016,64.01000213623047,16.698667526245117,88.52999877929688
2017-03-03,34.94499969482422,42.49399948120117,64.25,16.771333694458008,88.79000091552734
2017-03-06,34.834999084472656,42.330501556396484,64.2699966430664,16.747333526611328,88.94000244140625
2017-03-07,34.880001068115234,42.30099868774414,64.4000015258789,16.57266616821289,89.05999755859375
2017-03-08,34.75,42.525001525878906,64.98999786376953,16.45800018310547,88.95999908447266
2017-03-09,34.66999816894531,42.650001525878906,64.7300033569336,16.32666778564453,89.11000061035156
2017-03-10,34.78499984741211,42.62300109863281,64.93000030517578,16.246000289916992,89.7300033569336
2017-03-13,34.79999923706055,42.72949981689453,64.70999908447266,16.411333084106445,90.11000061035156
2017-03-14,34.747501373291016,42.62649917602539,64.41000366210938,17.200000762939453,89.55000305175781
2017-03-15,35.1150016784668,42.64849853515625,64.75,17.048667907714844,89.91999816894531
2017-03-16,35.17250061035156,42.67100143432617,64.63999938964844,17.469999313354492,90.04000091552734
2017-03-17,34.997501373291016,42.615501403808594,64.87000274658203,17.433332443237305,90.23999786376953
2017-03-20,35.3650016784668,42.8484992980957,64.93000030517578,17.461332321166992,89.18000030517578
2017-03-21,34.959999084472656,42.15999984741211,64.20999908447266,16.711999893188477,88.05999755859375
2017-03-22,35.35499954223633,42.40299987792969,65.02999877929688,17.000667572021484,88.5199966430664
2017-03-23,35.22999954223633,42.36899948120117,64.87000274658203,16.985332489013672,88.86000061035156
2017-03-24,35.15999984741211,42.28049850463867,64.9800033569336,17.54400062561035,89.19000244140625
2017-03-27,35.220001220703125,42.340999603271484,65.0999984741211,18.014667510986328,88.94999694824219
2017-03-28,35.95000076293945,42.79999923706055,65.29000091552734,18.496667861938477,89.12000274658203
2017-03-29,36.029998779296875,43.715999603271484,65.47000122070312,18.492000579833984,89.18000030517578
2017-03-30,35.98249816894531,43.81700134277344,65.70999908447266,18.527999877929688,89.01000213623047
2017-03-31,35.915000915527344,44.32699966430664,65.86000061035156,18.553333282470703,88.87000274658203
2017-04-03,35.92499923706055,44.57550048828125,65.55000305175781,19.90133285522461,89.36000061035156
2017-04-04,36.192501068115234,45.34149932861328,65.7300033569336,20.246667861938477,88.77999877929688
